Project,Package,Class,Method,Smell,Description,Method start line no,File
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,createHttpClient,Long Statement,The length of the statement "HttpClient client=new HttpClient().setConnectTimeout(timeout).setReadTimeout(timeout * 2).setCookieManager(null).setFollowRedirects(false).setHeader(HttpHeaders.ACCEPT`ContentTypes.APPLICATION_JSON.toString()).setHeader(HttpHeaders.ACCEPT_LANGUAGE`"en-US`en");" is 260.,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/HTTPUtils.java
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,createHttpClient,Magic Number,The method contains a magic number: 5000,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/HTTPUtils.java
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,createHttpClient,Magic Number,The method contains a magic number: 2,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/HTTPUtils.java
java,org.geysermc.mcprotocollib.network.crypt,PacketEncryption,decrypt,Long Parameter List,The method has 5 parameters. ,9,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/crypt/PacketEncryption.java
java,org.geysermc.mcprotocollib.network.crypt,PacketEncryption,encrypt,Long Parameter List,The method has 5 parameters. ,22,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/crypt/PacketEncryption.java
java,org.geysermc.mcprotocollib.network.crypt,AESEncryption,decrypt,Long Parameter List,The method has 5 parameters. ,29,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/crypt/AESEncryption.java
java,org.geysermc.mcprotocollib.network.crypt,AESEncryption,encrypt,Long Parameter List,The method has 5 parameters. ,34,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/crypt/AESEncryption.java
java,org.geysermc.mcprotocollib.network.server,NetworkServer,bindImpl,Complex Conditional,The conditional expression this.bossGroup != null || this.workerGroup != null || this.channel != null is complex.,49,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/NetworkServer.java
java,org.geysermc.mcprotocollib.network.server,NetworkServer,bindImpl,Long Statement,The length of the statement "ServerBootstrap bootstrap=new ServerBootstrap().channelFactory(getChannelFactory()).group(this.bossGroup`this.workerGroup).localAddress(this.getBindAddress()).childHandler(getChannelHandler());" is 193.,49,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/NetworkServer.java
java,org.geysermc.mcprotocollib.network.server,NetworkServer,setOptions,Magic Number,The method contains a magic number: 0x18,97,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/NetworkServer.java
java,org.geysermc.mcprotocollib.network.server,NetworkServer,setOptions,Magic Number,The method contains a magic number: 3,97,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/NetworkServer.java
java,org.geysermc.mcprotocollib.network.server,NetworkServer,getChannelHandler,Long Statement,The length of the statement "NetworkSession session=new ServerNetworkSession(channel.remoteAddress()`protocol`NetworkServer.this`packetHandlerExecutorFactory.get());" is 136.,108,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/NetworkServer.java
java,org.geysermc.mcprotocollib.network.server,AbstractServer,getGlobalFlagSupplied,Long Statement,The length of the statement "throw new IllegalStateException("Tried to get flag \"" + flag.key() + "\" as the wrong type. Actual type: "+ value.getClass().getName());" is 137.,62,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/server/AbstractServer.java
java,org.geysermc.mcprotocollib.network.netty,DefaultPacketHandlerExecutor,createExecutor,Long Statement,The length of the statement "Runtime.getRuntime().addShutdownHook(new Thread(() -> PACKET_EVENT_LOOP.shutdownGracefully(SHUTDOWN_QUIET_PERIOD_MS`SHUTDOWN_TIMEOUT_MS`TimeUnit.MILLISECONDS)));" is 161.,19,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/DefaultPacketHandlerExecutor.java
java,org.geysermc.mcprotocollib.network.netty,PacketCompressionCodec,encode,Long Statement,The length of the statement "throw new IllegalArgumentException("Packet too big (is " + uncompressed + "` should be less than "+ MAX_UNCOMPRESSED_SIZE+ ")");" is 128.,28,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCompressionCodec.java
java,org.geysermc.mcprotocollib.network.netty,PacketCompressionCodec,decode,Long Statement,The length of the statement "throw new DecoderException("Badly compressed packet - size of " + claimedUncompressedSize + " is below server threshold of "+ config.threshold());" is 146.,58,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCompressionCodec.java
java,org.geysermc.mcprotocollib.network.netty,PacketCompressionCodec,decode,Long Statement,The length of the statement "throw new DecoderException("Badly compressed packet - size of " + claimedUncompressedSize + " is larger than protocol maximum of "+ MAX_UNCOMPRESSED_SIZE);" is 155.,58,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCompressionCodec.java
java,org.geysermc.mcprotocollib.network.netty,PacketCodec,encode,Long Statement,The length of the statement "PacketDefinition definition=this.client ? packetRegistry.getServerboundDefinition(packetId) : packetRegistry.getClientboundDefinition(packetId);" is 144.,33,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCodec.java
java,org.geysermc.mcprotocollib.network.netty,BundlerUnpackerDecoder,decode,Magic Number,The method contains a magic number: 2,15,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/BundlerUnpackerDecoder.java
java,org.geysermc.mcprotocollib.network.netty,PacketSizerCodec,decode,Complex Conditional,The conditional expression (header.isLengthVariable() && lengthBytes[index] >= 0) || index == size - 1 is complex.,31,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketSizerCodec.java
java,org.geysermc.mcprotocollib.network.netty,MinecraftChannelInitializer,addHandlers,Long Statement,The length of the statement "pipeline.addLast(NetworkConstants.READ_TIMEOUT_NAME`new ReadTimeoutHandler(session.getFlag(BuiltinFlags.READ_TIMEOUT`30)));" is 123.,33,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/MinecraftChannelInitializer.java
java,org.geysermc.mcprotocollib.network.netty,MinecraftChannelInitializer,addHandlers,Long Statement,The length of the statement "pipeline.addLast(NetworkConstants.WRITE_TIMEOUT_NAME`new WriteTimeoutHandler(session.getFlag(BuiltinFlags.WRITE_TIMEOUT`0)));" is 125.,33,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/MinecraftChannelInitializer.java
java,org.geysermc.mcprotocollib.network.netty,MinecraftChannelInitializer,addHandlers,Magic Number,The method contains a magic number: 30,33,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/MinecraftChannelInitializer.java
java,org.geysermc.mcprotocollib.network.compression,ZlibCompression,inflate,Long Statement,The length of the statement "throw new DecoderException("Badly compressed packet - actual size of uncompressed payload " + actualUncompressedSize + " does not match declared size "+ uncompressedSize);" is 171.,25,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/compression/ZlibCompression.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,resolveSrv,Magic Number,The method contains a magic number: 4,84,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,resolveSrv,Magic Number,The method contains a magic number: 3,84,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,resolveSrv,Magic Number,The method contains a magic number: 2,84,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,initializeHAProxySupport,Long Statement,The length of the statement "log.debug("Remote address {} is not of the same type as the client address {} - using arbitrary values for destination address and port"`remoteAddress`clientAddress);" is 166.,126,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,initializeHAProxySupport,Long Statement,The length of the statement "ctx.channel().writeAndFlush(new HAProxyMessage(HAProxyProtocolVersion.V2`HAProxyCommand.PROXY`proxiedProtocol`clientAddress.getAddress().getHostAddress()`destinationAddress`clientAddress.getPort()`destinationPort)).addListener(future -> channel.pipeline().remove("proxy-protocol-encoder"));" is 290.,126,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,channelActive,Long Statement,The length of the statement "log.debug("Remote address {} is not of the same type as the client address {} - using arbitrary values for destination address and port"`remoteAddress`clientAddress);" is 166.,134,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,channelActive,Long Statement,The length of the statement "ctx.channel().writeAndFlush(new HAProxyMessage(HAProxyProtocolVersion.V2`HAProxyCommand.PROXY`proxiedProtocol`clientAddress.getAddress().getHostAddress()`destinationAddress`clientAddress.getPort()`destinationPort)).addListener(future -> channel.pipeline().remove("proxy-protocol-encoder"));" is 290.,134,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,addProxy,Complex Method,Cyclomatic complexity of the method is 8,183,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Complex Conditional,The conditional expression isClassAvailable("io.netty.channel.uring.IoUring") && IoUring.isAvailable() && Boolean.getBoolean("Mcpl.io_uring") is complex.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Complex Conditional,The conditional expression isClassAvailable("io.netty.channel.epoll.Epoll") && Epoll.isAvailable() && Boolean.parseBoolean(System.getProperty("Mcpl.epoll"`"true")) is complex.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Complex Conditional,The conditional expression isClassAvailable("io.netty.channel.kqueue.KQueue") && KQueue.isAvailable() && Boolean.parseBoolean(System.getProperty("Mcpl.kqueue"`"true")) is complex.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "if (isClassAvailable("io.netty.channel.uring.IoUring") && IoUring.isAvailable() && Boolean.getBoolean("Mcpl.io_uring")) {" is 121.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "return new TransportType(TransportMethod.IO_URING`IoUringServerSocketChannel.class`IoUringServerSocketChannel::new`IoUringSocketChannel.class`IoUringSocketChannel::new`IoUringDatagramChannel.class`IoUringDatagramChannel::new`(threads`factory) -> new MultiThreadIoEventLoopGroup(threads`factory`IoUringIoHandler.newFactory())`IoUring.isTcpFastOpenServerSideAvailable()`IoUring.isTcpFastOpenClientSideAvailable());" is 412.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "if (isClassAvailable("io.netty.channel.epoll.Epoll") && Epoll.isAvailable() && Boolean.parseBoolean(System.getProperty("Mcpl.epoll"`"true"))) {" is 143.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "return new TransportType(TransportMethod.EPOLL`EpollServerSocketChannel.class`EpollServerSocketChannel::new`EpollSocketChannel.class`EpollSocketChannel::new`EpollDatagramChannel.class`EpollDatagramChannel::new`NEW_NETTY ? (threads`factory) -> new MultiThreadIoEventLoopGroup(threads`factory`EpollIoHandler.newFactory()) : EpollEventLoopGroup::new`getSafely(() -> Epoll.isTcpFastOpenServerSideAvailable())`getSafely(() -> Epoll.isTcpFastOpenClientSideAvailable()));" is 464.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "if (isClassAvailable("io.netty.channel.kqueue.KQueue") && KQueue.isAvailable() && Boolean.parseBoolean(System.getProperty("Mcpl.kqueue"`"true"))) {" is 147.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "return new TransportType(TransportMethod.KQUEUE`KQueueServerSocketChannel.class`KQueueServerSocketChannel::new`KQueueSocketChannel.class`KQueueSocketChannel::new`KQueueDatagramChannel.class`KQueueDatagramChannel::new`NEW_NETTY ? (threads`factory) -> new MultiThreadIoEventLoopGroup(threads`factory`KQueueIoHandler.newFactory()) : KQueueEventLoopGroup::new`getSafely(() -> KQueue.isTcpFastOpenServerSideAvailable())`getSafely(() -> KQueue.isTcpFastOpenClientSideAvailable()));" is 475.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.helper,TransportHelper,determineTransportMethod,Long Statement,The length of the statement "return new TransportType(TransportMethod.NIO`NioServerSocketChannel.class`NioServerSocketChannel::new`NioSocketChannel.class`NioSocketChannel::new`NioDatagramChannel.class`NioDatagramChannel::new`NEW_NETTY ? (threads`factory) -> new MultiThreadIoEventLoopGroup(threads`factory`NioIoHandler.newFactory()) : NioEventLoopGroup::new`false`false);" is 342.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/TransportHelper.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 5,15,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 128,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 16384,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 2,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 2097152,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 3,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 268435456,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 4,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.packet,DefaultPacketHeader,getLengthSize,Magic Number,The method contains a magic number: 5,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/packet/DefaultPacketHeader.java
java,org.geysermc.mcprotocollib.network.factory,ClientNetworkSessionFactory,setAddress,Magic Number,The method contains a magic number: 25565,30,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/factory/ClientNetworkSessionFactory.java
java,org.geysermc.mcprotocollib.network.factory,ClientNetworkSessionFactory,create,Long Statement,The length of the statement "return new ClientNetworkSession(Objects.requireNonNull(remoteSocketAddress`"socketRemoteAddress")`Objects.requireNonNull(protocol`"protocol")`Objects.requireNonNullElseGet(packetHandlerExecutor`DefaultPacketHandlerExecutor::createExecutor)`bindSocketAddress`proxy);" is 265.,46,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/factory/ClientNetworkSessionFactory.java
java,org.geysermc.mcprotocollib.network.session,NetworkSession,getFlagSupplied,Long Statement,The length of the statement "throw new IllegalStateException("Tried to get flag \"" + flag.key() + "\" as the wrong type. Actual type: "+ value.getClass().getName());" is 137.,90,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/NetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,ClientNetworkSession,Long Parameter List,The method has 5 parameters. ,39,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,connect,Long Statement,The length of the statement "final Bootstrap bootstrap=new Bootstrap().channelFactory(getChannelFactory()).option(ChannelOption.CONNECT_TIMEOUT_MILLIS`getFlag(BuiltinFlags.CLIENT_CONNECT_TIMEOUT`30) * 1000).group(eventLoopGroup).remoteAddress(NettyHelper.resolveAddress(this`remoteAddress)).localAddress(bindAddress).handler(getChannelHandler());" is 317.,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,connect,Magic Number,The method contains a magic number: 30,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,connect,Magic Number,The method contains a magic number: 1000,51,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,setOptions,Magic Number,The method contains a magic number: 0x18,97,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.network.session,ClientNetworkSession,createEventLoopGroup,Long Statement,The length of the statement "Runtime.getRuntime().addShutdownHook(new Thread(() -> EVENT_LOOP_GROUP.shutdownGracefully(SHUTDOWN_QUIET_PERIOD_MS`SHUTDOWN_TIMEOUT_MS`TimeUnit.MILLISECONDS)));" is 160.,125,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/ClientNetworkSession.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,packetReceived,Complex Conditional,The conditional expression (profile == null || accessToken == null) && helloPacket.isShouldAuthenticate() is complex.,68,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,packetReceived,Complex Method,Cyclomatic complexity of the method is 28,68,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,packetReceived,Long Method,The method has 114 lines of code.,68,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,packetReceived,Long Statement,The length of the statement "sessionService.joinServer(Objects.requireNonNull(profile`"final shouldAuthenticate changed value?")`accessToken`serverId);" is 122.,68,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,packetReceived,Long Statement,The length of the statement "session.send(new ServerboundKeyPacket(helloPacket.getPublicKey()`key`helloPacket.getChallenge())`() -> session.setEncryption(protocol.createEncryption(key)));" is 158.,68,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
